Clock frequency is approx. 2501.7 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	6730.5	5638.5	4447.9	3400.0	2605.2	2203.2	1868.5	1582.2	1532.1	1436.2	1362.5	1287.1	1237.8	1195.8	1199.1	1193.3	1077.6	1107.8	1070.3	1032.0	999.9	974.9	1007.8	1014.8	1006.2	987.2	925.1	978.4	1011.2	1015.9	1017.5	939.1	1041.4	1033.5	1049.7	1081.0	1089.1	1122.6	1117.8	1158.5	1208.2	1259.2	1299.7	1309.9	1324.2	1354.9	1165.6	1014.3	1369.9	1282.3	1275.7	1399.6	1386.7	1408.4	1396.9	1381.7	1420.7	1445.2	1412.0	1484.3	1452.0	1473.8	1466.0	927.0	
16m	6993.0	6292.8	4841.8	3592.3	2823.5	2304.0	1940.5	1761.1	1592.7	1444.9	1376.4	1309.0	1257.9	1216.4	1179.8	1151.3	1140.8	1080.6	1048.5	1048.1	1013.4	1203.9	1136.9	1243.0	1257.7	1210.0	1278.6	1302.4	1348.2	1361.7	1369.4	995.2	1440.5	1436.3	1461.6	1481.4	1553.0	1595.1	1692.9	1769.2	1831.3	1961.3	2105.8	2185.6	2166.1	2280.6	2378.9	1423.7	2516.4	2481.1	2542.4	2608.2	2559.2	2588.8	1816.7	2639.4	2657.4	2657.4	2628.1	2277.4	2163.5	2022.4	2180.7	924.9	
8m	6856.6	6541.0	5130.3	3788.3	2858.7	2438.3	2033.7	1796.9	1769.5	1736.2	1470.1	1469.8	1576.3	1580.7	1625.0	1333.5	1722.1	1694.6	1625.5	1917.7	1969.5	1738.5	2069.6	2142.9	1980.0	1913.5	2221.4	2323.9	2109.9	2402.2	2516.5	1214.9	2554.5	1886.2	2237.8	2181.1	2425.4	2106.0	2442.2	2534.7	2458.5	2657.5	2793.2	3049.4	3050.9	3209.1	3147.5	2882.2	3823.8	3656.3	3704.2	3725.3	3707.1	3605.0	3533.2	3596.1	3558.8	3586.1	3517.3	3406.6	3432.7	3381.9	3352.7	1193.8	
4m	7491.1	7342.1	6506.3	5173.1	4171.7	3497.0	3089.8	2756.7	2714.6	2654.5	2568.6	2581.3	2714.5	2602.8	2954.1	2200.9	3096.9	2662.1	3001.6	2829.6	3490.1	3170.2	3048.0	3461.5	2983.2	3715.7	3420.0	3457.1	3749.9	3640.8	3646.9	1893.6	3516.7	3889.1	3804.7	3737.2	3554.3	3824.5	3760.3	3746.5	3500.5	3994.6	4473.8	4593.9	4614.6	4651.6	4588.3	4650.6	4600.2	4635.4	4671.9	4621.8	4671.6	4671.7	4658.8	4686.1	4684.2	4692.8	4656.0	4698.5	4714.7	4662.3	4734.9	2011.6	
2m	7690.5	7625.6	7472.5	7195.9	6345.5	5414.8	4805.4	4340.6	4274.6	4167.0	4152.6	4048.2	4010.1	4020.4	3984.6	3821.4	3965.1	4089.3	3908.0	3913.7	3953.6	3970.0	3968.5	3891.6	3922.0	3976.9	4003.7	3927.4	3841.5	3928.4	3962.1	3627.8	3880.1	3772.2	3971.4	3911.8	3944.4	4021.0	3952.7	3810.2	3924.2	4059.7	4681.7	4638.5	4936.2	4803.1	5085.1	4391.7	5135.1	4913.8	5249.3	5199.0	5263.7	5464.7	5576.5	4637.3	5643.7	5727.2	5919.8	6052.9	5931.5	6197.5	5886.2	3526.6	
1024k	7728.6	7702.3	7661.4	7664.9	6898.0	5816.7	5146.8	4625.9	4538.6	4472.4	4420.0	4351.3	4331.9	4308.1	4276.2	4266.2	4232.5	4231.0	4217.2	4191.2	4191.0	4164.6	4156.5	4154.0	4166.4	4152.5	4152.6	4153.2	4166.1	4215.6	4184.8	4140.2	4255.0	4294.2	4369.7	4414.6	4508.0	4717.6	4782.5	6342.4	7260.8	6886.2	7675.5	7658.2	7239.5	7576.3	7694.2	5310.5	7664.2	7523.9	7694.2	7667.6	7679.5	7681.6	7666.9	7667.8	7638.5	7694.2	7673.6	7670.2	7687.2	7624.7	7689.5	4683.9	
512k	7736.6	7733.7	7729.8	7675.0	6883.5	5822.4	5168.0	4626.7	4526.8	4461.3	4412.3	4367.3	4349.9	4369.3	4404.8	4311.8	4543.2	4764.5	4844.1	4739.8	5023.2	5208.7	5237.6	5423.8	5755.8	5843.3	5966.4	6628.3	6516.8	6808.9	6680.8	4211.3	7674.3	7613.3	6820.8	7633.1	7611.6	7655.0	7622.6	7519.0	7660.4	7633.6	7659.7	7602.2	7651.7	7564.9	7591.6	7265.1	7608.3	7634.1	7631.4	7650.1	7619.2	7604.7	7655.4	7624.1	7632.1	7655.1	7626.2	7619.4	7629.5	7595.9	7626.2	4638.8	
256k	7733.9	7728.7	7714.7	7684.4	7316.4	6584.4	5912.7	5475.0	5587.2	5612.4	5834.7	5920.9	6223.2	6238.2	6760.5	5284.0	7061.5	6739.3	7027.0	7039.5	7367.1	7391.1	7558.9	7488.1	7546.2	7594.8	7583.3	7606.8	7545.3	7624.7	7563.3	5166.2	7555.6	7543.4	7539.4	7580.2	7576.9	7532.5	7560.3	7482.4	7562.0	7568.3	7557.3	7485.1	7457.8	7490.7	7473.0	7502.4	7509.4	7502.3	7524.2	7484.4	7467.5	7561.3	7494.2	7535.8	7579.4	7552.0	7454.9	7564.1	7565.1	7539.1	7587.2	5309.4	
128k	7733.7	7730.4	7727.2	7720.5	7712.6	7707.0	7701.8	7694.5	7692.7	7652.3	7654.9	7666.6	7680.4	7651.5	7667.5	7598.9	7611.8	7608.7	7646.0	7579.2	7601.4	7603.5	7538.3	7514.8	7463.9	7484.4	7477.5	7492.4	7582.4	7611.5	7587.7	7382.6	7554.7	7654.1	7615.0	7588.6	7658.7	7615.6	7600.2	7666.7	7629.3	7600.2	7579.8	7540.6	7636.3	7614.8	7597.9	7204.4	7533.4	7624.5	7608.8	7568.3	7563.3	7533.1	7662.8	7642.4	7597.7	7585.8	7580.3	7515.5	7547.4	7523.0	7498.0	7350.9	
64k	7729.3	7720.5	7707.0	7707.5	7702.7	7694.7	7676.6	7598.9	7669.5	7554.8	7638.6	7552.2	7524.6	7624.1	7548.4	7618.7	7654.1	7588.6	7529.2	7574.6	7578.1	7540.6	7614.8	7563.4	7624.5	7568.3	7533.1	7514.8	7585.8	7546.7	7491.0	7590.4	7378.8	7579.9	7505.2	7476.4	7421.4	7579.9	7545.6	7560.6	7500.5	7447.9	7446.6	7405.7	7373.5	7345.3	7326.5	7521.7	7466.1	7465.3	7424.3	7434.4	7397.5	7365.5	7338.8	7317.6	7295.7	7279.5	7269.4	7464.2	7203.4	7469.9	7412.5	7298.5	
